time,close,open,high,low
2021-07-02,1420.27,1422.89,1424.28,1415.82
2021-07-05,1411.13,1420.27,1421.52,1394.12
2021-07-06,1354.79,1411.13,1418.99,1354.79
2021-07-07,1388.55,1354.79,1388.55,1334.58
2021-07-08,1374.68,1388.55,1388.55,1363.92
2021-07-09,1347.14,1374.68,1374.68,1335.90
2021-07-12,1296.30,1347.14,1347.14,1270.06
2021-07-13,1297.54,1296.30,1307.73,1278.30
2021-07-14,1279.91,1297.54,1305.37,1264.68
2021-07-15,1293.92,1279.91,1299.18,1270.77
2021-07-16,1299.31,1293.92,1304.37,1293.92
2021-07-19,1243.51,1299.31,1299.31,1237.79
2021-07-20,1273.29,1243.51,1273.29,1225.52
2021-07-21,1270.79,1273.29,1284.33,1266.71
2021-07-22,1293.67,1270.79,1294.16,1266.54
2021-07-23,1268.83,1293.67,1295.63,1268.83
2021-07-26,1272.71,1268.83,1277.33,1254.57
2021-07-27,1276.93,1272.71,1288.35,1272.71
2021-07-28,1277.07,1276.93,1281.17,1271.78
2021-07-29,1293.60,1277.07,1293.60,1277.07
2021-07-30,1310.05,1293.60,1311.97,1293.60
2021-08-02,1314.22,1310.05,1322.35,1304.49
2021-08-03,1332.44,1314.22,1332.44,1314.22
2021-08-04,1334.74,1332.44,1340.76,1328.40
2021-08-05,1345.55,1334.74,1346.62,1326.80
2021-08-06,1341.45,1345.55,1351.85,1341.45
2021-08-09,1359.86,1341.45,1361.12,1334.69
2021-08-10,1362.43,1359.86,1370.35,1358.12
2021-08-11,1357.79,1362.43,1374.03,1357.79
2021-08-12,1353.05,1357.79,1365.01,1353.05
2021-08-13,1357.05,1353.05,1357.41,1336.74
2021-08-16,1370.96,1357.05,1372.33,1357.05
2021-08-17,1363.09,1370.96,1379.70,1359.11
2021-08-18,1360.94,1363.09,1370.50,1355.83
2021-08-19,1374.85,1360.94,1374.85,1352.94
2021-08-20,1329.43,1374.85,1374.85,1317.52
2021-08-23,1298.86,1329.43,1329.43,1298.86
2021-08-24,1298.74,1298.86,1307.56,1289.16
2021-08-25,1309.55,1298.74,1310.16,1291.70
2021-08-26,1301.12,1309.55,1316.26,1295.77
2021-08-27,1313.20,1301.12,1313.20,1285.16
2021-08-30,1328.14,1313.20,1329.62,1313.20
2021-08-31,1331.47,1328.14,1336.14,1325.69
2021-09-01,1334.65,1331.47,1338.02,1328.13
2021-09-06,1346.39,1334.65,1348.36,1334.65
2021-09-07,1341.90,1346.39,1353.66,1340.32
2021-09-08,1333.61,1341.90,1344.49,1328.35
2021-09-09,1343.98,1333.61,1345.59,1332.67
2021-09-10,1345.31,1343.98,1350.43,1343.98
2021-09-13,1341.43,1345.31,1350.69,1340.50
2021-09-14,1339.70,1341.43,1349.13,1336.84
2021-09-15,1345.83,1339.70,1347.70,1334.97
2021-09-16,1345.87,1345.83,1353.12,1341.23
2021-09-17,1352.64,1345.87,1356.45,1345.87
2021-09-20,1350.48,1352.64,1365.92,1349.18
2021-09-21,1339.84,1350.48,1350.48,1324.82
2021-09-22,1350.68,1339.84,1350.71,1336.63
2021-09-23,1352.76,1350.68,1361.09,1350.43
2021-09-24,1351.17,1352.76,1356.97,1348.07
2021-09-27,1324.99,1351.17,1354.38,1324.99
2021-09-28,1339.31,1324.99,1341.81,1316.41
2021-09-29,1339.21,1339.31,1340.90,1328.17
2021-09-30,1342.06,1339.21,1348.89,1339.21
2021-10-01,1334.89,1342.06,1344.06,1332.97
2021-10-04,1339.54,1334.89,1347.49,1333.53
2021-10-05,1354.63,1339.54,1354.63,1339.54
2021-10-06,1362.82,1354.63,1362.82,1354.63
2021-10-07,1365.99,1362.82,1367.64,1360.57
2021-10-08,1372.73,1365.99,1373.18,1365.93
2021-10-11,1394.09,1372.73,1394.64,1372.73
2021-10-12,1394.80,1394.09,1400.78,1389.43
2021-10-13,1391.91,1394.80,1400.67,1389.61
2021-10-14,1391.85,1391.91,1398.67,1388.89
2021-10-15,1392.70,1391.85,1399.03,1388.00
2021-10-18,1395.53,1392.70,1402.63,1390.88
2021-10-19,1395.33,1395.53,1399.66,1388.95
2021-10-20,1393.80,1395.33,1401.76,1376.15
2021-10-21,1384.77,1393.80,1398.45,1384.77
2021-10-22,1389.24,1384.77,1393.70,1384.77
2021-10-25,1385.40,1389.24,1395.72,1385.40
2021-10-26,1391.63,1385.40,1393.03,1377.56
2021-10-27,1423.02,1391.63,1423.02,1391.63
2021-10-28,1438.01,1423.02,1440.64,1420.42
2021-10-29,1444.27,1438.01,1447.62,1432.19
2021-11-01,1438.97,1444.27,1451.81,1435.57
2021-11-02,1452.46,1438.97,1452.46,1438.83
2021-11-03,1444.30,1452.46,1463.63,1440.67
2021-11-04,1448.34,1444.30,1451.98,1435.84
2021-11-05,1456.51,1448.34,1459.93,1444.51
2021-11-08,1467.57,1456.51,1470.49,1456.51
2021-11-09,1461.50,1467.57,1474.20,1457.57
2021-11-10,1465.02,1461.50,1470.19,1457.98
2021-11-11,1462.35,1465.02,1472.89,1449.18
2021-11-12,1473.37,1462.35,1474.98,1453.22
2021-11-15,1476.57,1473.37,1481.96,1466.01
2021-11-16,1466.45,1476.57,1476.97,1459.08
2021-11-17,1475.85,1466.45,1477.04,1464.78
2021-11-18,1469.83,1475.85,1482.87,1469.83
2021-11-19,1452.35,1469.83,1481.53,1434.69
2021-11-22,1447.25,1452.35,1466.46,1442.85
2021-11-23,1463.63,1447.25,1463.63,1438.41
2021-11-24,1488.87,1463.63,1491.05,1463.63
2021-11-25,1500.81,1488.87,1505.36,1488.87
2021-11-26,1493.03,1500.81,1511.68,1488.83
2021-11-29,1484.84,1493.03,1493.03,1464.83
2021-11-30,1478.44,1484.84,1503.09,1471.57
2021-12-01,1485.19,1478.44,1487.68,1471.30
2021-12-02,1482.05,1485.19,1493.84,1482.05
2021-12-03,1443.32,1482.05,1491.20,1443.32
2021-12-06,1413.58,1443.32,1452.55,1400.87
2021-12-07,1446.77,1413.58,1446.77,1413.58
2021-12-08,1452.87,1446.77,1460.28,1446.77
2021-12-09,1467.98,1452.87,1467.98,1446.88
2021-12-10,1463.54,1467.98,1475.85,1461.78
2021-12-13,1476.21,1463.54,1481.70,1463.54
2021-12-14,1476.02,1476.21,1485.14,1469.21
2021-12-15,1475.50,1476.02,1481.67,1468.21
2021-12-16,1476.61,1475.50,1482.32,1468.95
2021-12-17,1479.79,1476.61,1487.73,1476.61
2021-12-20,1477.33,1479.79,1483.85,1468.88
2021-12-21,1478.74,1477.33,1486.09,1472.43
2021-12-22,1477.67,1478.74,1489.24,1471.84
2021-12-23,1456.96,1477.67,1481.21,1447.14
2021-12-24,1477.03,1456.96,1478.80,1456.32
2021-12-27,1488.88,1477.03,1490.12,1469.91
2021-12-28,1494.39,1488.88,1499.77,1483.97
2021-12-29,1485.82,1494.39,1498.91,1485.82
2021-12-30,1485.97,1490.96,1493.38,1484.82
2021-12-31,1498.28,1485.97,1499.07,1485.97
2022-01-04,1525.58,1508.55,1526.69,1507.19
2022-01-05,1522.50,1525.58,1535.82,1522.50
2022-01-06,1528.57,1522.50,1536.24,1518.18
2022-01-07,1528.48,1534.10,1534.52,1524.96
2022-01-10,1503.71,1528.48,1536.45,1503.71
2022-01-11,1492.31,1503.71,1512.05,1488.40
2022-01-12,1510.51,1489.11,1510.51,1464.49
2022-01-13,1496.05,1510.51,1522.60,1495.13
2022-01-14,1496.02,1496.05,1503.25,1476.68
2022-01-17,1452.84,1496.02,1503.86,1452.84
2022-01-18,1438.94,1452.84,1452.84,1424.65
2022-01-19,1442.79,1438.94,1449.11,1434.46
2022-01-20,1465.30,1442.79,1469.08,1432.58
2022-01-21,1472.89,1465.30,1477.23,1463.06
2022-01-24,1439.71,1472.89,1472.89,1432.18
2022-01-25,1479.58,1439.71,1479.58,1424.36
2022-01-26,1481.58,1479.58,1490.45,1478.41
2022-01-27,1470.76,1481.58,1486.39,1464.06
2022-01-28,1478.96,1470.76,1484.48,1465.22
2022-02-07,1497.66,1478.96,1505.69,1478.96
2022-02-08,1500.99,1497.66,1503.33,1491.78
2022-02-09,1505.38,1500.99,1511.72,1499.53
2022-02-10,1506.79,1510.66,1512.88,1495.70
2022-02-11,1501.71,1506.79,1508.54,1499.06
2022-02-14,1471.96,1501.71,1501.71,1471.96
2022-02-15,1492.75,1471.96,1495.56,1470.06
2022-02-16,1492.10,1492.75,1499.50,1486.68
2022-02-17,1507.99,1492.10,1507.99,1492.10
2022-02-18,1504.84,1507.99,1507.99,1492.38
2022-02-21,1510.84,1504.84,1516.63,1500.97
2022-02-22,1503.47,1510.84,1510.84,1484.81
2022-02-23,1512.30,1503.47,1520.78,1503.47
2022-02-24,1494.85,1512.30,1513.25,1473.76
2022-02-25,1498.89,1494.85,1512.05,1494.85
2022-02-28,1490.13,1498.89,1502.36,1487.57
2022-03-01,1498.78,1490.13,1501.73,1490.13
2022-03-02,1485.52,1499.37,1500.41,1479.55
2022-03-03,1505.00,1485.52,1505.00,1485.52
2022-03-04,1505.33,1505.00,1509.19,1501.39
2022-03-07,1499.05,1505.33,1505.33,1493.87
2022-03-08,1473.71,1499.05,1499.05,1473.71
2022-03-09,1473.74,1473.71,1482.86,1462.80
2022-03-10,1479.08,1473.74,1488.59,1473.74
